,enrichment_1-1,enrichment_1-2,enrichment_1-3,enrichment_1-4,enrichment_2-1,enrichment_2-2,enrichment_2-3,enrichment_2-4,enrichment_3-1,enrichment_3-2,enrichment_3-3,enrichment_3-4,enrichment_4-1,enrichment_4-2,enrichment_4-3,enrichment_4-4
enrichment_1-1,1.0,-0.22778226851059585,-0.23304998154870604,0.182067992964974,-0.22778226851059585,-0.0581312597623422,0.08041176686188638,-0.16395764315146427,-0.23304998154870604,0.08041176686188638,-0.1655360116949738,0.08103916935143202,0.182067992964974,-0.16395764315146427,0.08103916935143202,-0.21246136370801857
enrichment_1-2,-0.22778226851059585,1.0,0.08955516009995752,-0.2556542167687613,1.0,0.18055312698337922,0.03031955126077713,0.027961984039294032,0.08955516009995752,0.03031955126077713,0.05105151323423514,0.012960563371125337,-0.2556542167687613,0.027961984039294032,0.012960563371125337,0.02566795159146041
enrichment_1-3,-0.23304998154870604,0.08955516009995752,1.0,-0.3268109337596327,0.08955516009995752,0.11447011533280727,-0.003381955047251502,-0.13205483285686231,1.0,-0.003381955047251502,-0.25090207758700067,0.16217984366654536,-0.3268109337596327,-0.13205483285686231,0.16217984366654536,0.07436781231480531
enrichment_1-4,0.182067992964974,-0.2556542167687613,-0.3268109337596327,1.0,-0.2556542167687614,-0.2632847273773345,-0.006494861996389248,0.055228007023672636,-0.3268109337596327,-0.006494861996389248,-0.027957992726907268,-0.0575595713345176,1.0,0.055228007023672636,-0.0575595713345176,-0.03971705311713811
enrichment_2-1,-0.22778226851059585,1.0,0.08955516009995752,-0.2556542167687614,1.0,0.18055312698337922,0.03031955126077713,0.027961984039294032,0.08955516009995752,0.03031955126077713,0.05105151323423514,0.012960563371125337,-0.2556542167687613,0.027961984039294032,0.012960563371125337,0.02566795159146041
enrichment_2-2,-0.0581312597623422,0.18055312698337922,0.11447011533280727,-0.2632847273773345,0.18055312698337922,1.0,0.061493086719616216,0.0578107452885811,0.11447011533280727,0.061493086719616216,-0.1232061852679304,0.11648944215346359,-0.2632847273773345,0.0578107452885811,0.11648944215346359,-0.04727025438050543
enrichment_2-3,0.08041176686188638,0.03031955126077713,-0.003381955047251502,-0.006494861996389248,0.03031955126077713,0.061493086719616216,1.0,-0.003176371421966004,-0.0033819550472514947,1.0,-0.1523748916191612,0.004554056906131138,-0.006494861996389236,-0.003176371421966004,0.004554056906131138,-0.07881364863524544
enrichment_2-4,-0.16395764315146427,0.027961984039294032,-0.13205483285686231,0.055228007023672636,0.027961984039294032,0.0578107452885811,-0.003176371421966004,1.0,-0.13205483285686234,-0.003176371421965995,0.025900338603822643,-0.21027096737574336,0.05522800702367262,1.0,-0.21027096737574336,0.22251434009729915
enrichment_3-1,-0.23304998154870604,0.08955516009995752,1.0,-0.3268109337596327,0.08955516009995752,0.11447011533280727,-0.0033819550472514947,-0.13205483285686234,1.0,-0.003381955047251502,-0.25090207758700067,0.16217984366654536,-0.3268109337596327,-0.13205483285686231,0.16217984366654536,0.07436781231480531
enrichment_3-2,0.08041176686188638,0.03031955126077713,-0.003381955047251502,-0.006494861996389248,0.03031955126077713,0.061493086719616216,1.0,-0.003176371421965995,-0.003381955047251502,1.0,-0.1523748916191612,0.004554056906131138,-0.006494861996389236,-0.003176371421966004,0.004554056906131138,-0.07881364863524544
enrichment_3-3,-0.1655360116949738,0.05105151323423514,-0.25090207758700067,-0.027957992726907268,0.05105151323423514,-0.1232061852679304,-0.1523748916191612,0.025900338603822643,-0.25090207758700067,-0.1523748916191612,1.0,-0.23817453975083736,-0.027957992726907258,0.025900338603822636,-0.23817453975083736,0.056772641688518186
enrichment_3-4,0.08103916935143202,0.012960563371125337,0.16217984366654536,-0.0575595713345176,0.012960563371125337,0.11648944215346359,0.004554056906131138,-0.21027096737574336,0.16217984366654536,0.004554056906131138,-0.23817453975083736,1.0,-0.0575595713345176,-0.21027096737574336,1.0,-0.36600286297646856
enrichment_4-1,0.182067992964974,-0.2556542167687613,-0.3268109337596327,1.0,-0.2556542167687613,-0.2632847273773345,-0.006494861996389236,0.05522800702367262,-0.3268109337596327,-0.006494861996389236,-0.027957992726907258,-0.0575595713345176,1.0,0.055228007023672636,-0.0575595713345176,-0.03971705311713811
enrichment_4-2,-0.16395764315146427,0.027961984039294032,-0.13205483285686231,0.055228007023672636,0.027961984039294032,0.0578107452885811,-0.003176371421966004,1.0,-0.13205483285686231,-0.003176371421966004,0.025900338603822636,-0.21027096737574336,0.055228007023672636,1.0,-0.21027096737574336,0.22251434009729915
enrichment_4-3,0.08103916935143202,0.012960563371125337,0.16217984366654536,-0.0575595713345176,0.012960563371125337,0.11648944215346359,0.004554056906131138,-0.21027096737574336,0.16217984366654536,0.004554056906131138,-0.23817453975083736,1.0,-0.0575595713345176,-0.21027096737574336,1.0,-0.36600286297646856
enrichment_4-4,-0.21246136370801857,0.02566795159146041,0.07436781231480531,-0.03971705311713811,0.02566795159146041,-0.04727025438050543,-0.07881364863524544,0.22251434009729915,0.07436781231480531,-0.07881364863524544,0.056772641688518186,-0.36600286297646856,-0.03971705311713811,0.22251434009729915,-0.36600286297646856,1.0
