field_of_view,Niche_0,Niche_1,Niche_2,Niche_3
CD a_1,20.72326583694641,6.455197927340361,1.5243282331206716,0.24761507857392812
CD a_10,20.72326583694641,7.173190438487542,1.7438461078128595,0.19311580071181192
CD a_11,20.72326583694641,6.875231119277113,2.3922295243248404,0.09701617854754695
CD a_12,20.72326583694641,20.72326583694641,1.9165038449097769,0.15913691126613197
CD a_13,20.72326583694641,20.72326583694641,2.4750884822245975,0.08790873403022165
CD a_14,20.72326583694641,20.72326583694641,1.6314168140417644,0.21772348260162733
CD a_15,20.72326583694641,7.160844618665193,3.6951099636145734,0.02595505407211991
CD a_16,20.72326583694641,5.811140658976758,4.424846548356815,0.01508324119613105
CD a_17,20.72326583694641,5.6577382496548525,2.9062032048256117,0.05993405064344763
CD a_18,20.72326583694641,6.300173442085322,2.824075280071206,0.06315229242755771
CD a_19,20.72326583694641,20.72326583694641,0.807888021249819,0.5902270984493229
CD a_2,20.72326583694641,3.0942839252110605,5.222515467731777,0.05203165704019397
CD a_3,20.72326583694641,4.043051210834553,5.221706078926224,0.02320923188688988
CD a_4,20.72326583694641,7.1352879230984705,1.2787856133315003,0.32735423351042076
CD a_5,20.72326583694641,2.9807076672021395,5.925146291737075,0.05490857534005121
CD a_6,20.72326583694641,4.310799050885517,3.260976974811837,0.05316212232345976
CD a_7,20.72326583694641,6.1273053118195175,1.6033456344872161,0.22740841518156116
CD a_8,20.72326583694641,20.72326583694641,1.257259990839638,0.3346790721501691
CD a_9,20.72326583694641,20.72326583694641,2.1520959544638845,0.12357004736332042
CD b_10,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
CD b_11,8.294545513151949,20.72326583694641,2.9522152440305427,0.05390065071338656
CD b_12,20.72326583694641,20.72326583694641,4.787260114532381,0.008370194336924814
CD b_13,20.72326583694641,20.72326583694641,3.080916358949596,0.047004775625981404
CD b_14,8.461041303804878,20.72326583694641,2.888891980642089,0.05746956510481347
CD b_15,7.535472780888226,20.72326583694641,3.915588021414072,0.020674892710066256
CD b_16,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
CD b_17,7.114158277042887,8.50044895042411,7.807304228355099,0.0014246456219476032
CD b_18,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
CD b_19,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
CD b_2,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
CD b_20,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
CD b_3,8.495964659976794,20.72326583694641,8.495964659976794,0.00040866267507842324
CD b_4,20.72326583694641,20.72326583694641,8.100461595034883,0.00030344309245124867
CD b_5,7.961367333723634,20.72326583694641,20.72326583694641,0.0003487348357924441
CD b_6,7.7079593058379725,20.72326583694641,20.72326583694641,0.00044933623470009545
CD b_7,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
CD b_8,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
CD b_9,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
CD c_1,5.648703061645443,20.72326583694641,4.206319450688444,0.018595011116152384
CD c_10,4.990432439778758,20.72326583694641,2.365074090876812,0.10618870176343251
CD c_11,4.7431913690854755,20.72326583694641,2.292186375876596,0.11625980499257434
CD c_12,4.856317805161916,20.72326583694641,3.8266984706200278,0.030006198049809554
CD c_13,4.082271921707836,20.72326583694641,2.3406368885544957,0.12006295951894691
CD c_14,4.033743291899492,20.72326583694641,2.590134517323963,0.09730181449291281
