field_of_view,enrichment_1-1,enrichment_1-2,enrichment_1-3,enrichment_1-4,enrichment_2-1,enrichment_2-2,enrichment_2-3,enrichment_2-4,enrichment_3-1,enrichment_3-2,enrichment_3-3,enrichment_3-4,enrichment_4-1,enrichment_4-2,enrichment_4-3,enrichment_4-4
UC a_1,-0.6794752292295544,-0.3418249169666588,-3.5394701080722917,0.2946596294372185,-0.3418249169666588,-0.1619858049068459,-2.5168566026428647,-0.6321425360890045,-3.5394701080722917,-2.5168566026428647,2.8711444935328503,-1.1558259708916432,0.2946596294372185,-0.6321425360890045,-1.1558259708916432,0.058734819137268995
UC a_10,-0.10683452556114548,0.0,-0.2063002742210979,-0.4532656696758917,0.0,0.0,0.0,0.0,-0.2063002742210979,0.0,-0.38675734206568047,-0.5036479267089179,-0.4532656696758917,0.0,-0.5036479267089179,0.002988584868462692
UC a_12,3.4282893137920034,-0.7300838861173833,0.354178043434355,-0.059927161476335915,-0.7300838861173833,-0.3290373833616767,-0.28638263682860676,-0.6925854051879887,0.354178043434355,-0.28638263682860676,-0.24879002164035682,-0.19365586900492496,-0.059927161476335915,-0.6925854051879887,-0.19365586900492496,0.002146386819516224
UC a_13,-1.0979109514093133,1.542143116251804,0.0,-0.10393260438141438,1.542143116251804,1.722325489954578,0.0,-0.2841946861974161,0.0,0.0,0.0,0.0,-0.10393260438141438,-0.2841946861974161,0.0,0.003030123334876532
UC a_14,-0.05951793563536132,0.0,0.0,-0.3174622887818081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3174622887818081,0.0,0.0,0.0010493386552116234
UC a_15,1.413978058786297,0.0,0.0,0.21975630643556449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21975630643556449,0.0,0.0,-0.0012673609393617164
UC a_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC a_17,2.2176825070226376,-0.2014635915462342,0.9296728317055981,-0.375966921208831,-0.2014635915462342,1.9437177315662957,-0.13738485310425128,-0.9400666186178722,0.9296728317055981,-0.13738485310425128,-0.04726360695688674,0.022387937435836575,-0.375966921208831,-0.9400666186178722,0.022387937435836575,0.004266801138671394
UC a_18,-0.3620386088941688,-0.15587393217305298,-0.08004109009687752,0.14968962321697507,-0.15587393217305298,-0.06438419034797965,-0.03255123032525061,-0.37098298647070654,-0.08004109009687752,-0.03255123032525061,-0.016367419051434462,0.4006457597230187,0.14968962321697507,-0.37098298647070654,0.4006457597230187,-0.0008469025160527304
UC a_19,0.0,0.0,0.0,0.0,0.0,2.2176680572041945,-0.13740368198717276,-0.2725909505413529,0.0,-0.13740368198717276,-0.18044303733970213,0.1491987667745206,0.0,-0.2725909505413529,0.1491987667745206,-0.00012248223109498225
UC a_2,-0.7389049057492352,0.0,-3.753421941966097,0.21257484847754338,0.0,0.0,0.0,0.0,-3.753421941966097,0.0,2.4499582814164955,-0.949079396409119,0.21257484847754338,0.0,-0.949079396409119,0.05946858546996325
UC a_20,0.0,0.0,0.0,0.0,0.0,-0.134694602441013,-0.046309626646870834,-0.4153949979237373,0.0,-0.046309626646870834,-0.015602294373490937,-0.9537973328783967,0.0,-0.4153949979237373,-0.9537973328783967,0.0032428810306128907
UC a_21,0.0,0.0,0.0,0.0,0.0,-0.010966460725117503,0.0,-0.2421337883149225,0.0,0.0,0.0,0.0,0.0,-0.2421337883149225,0.0,0.0003073502963992815
UC a_22,0.0,0.0,0.0,0.0,0.0,-0.046060282125616976,0.0,-0.3008042275313113,0.0,0.0,0.0,0.0,0.0,-0.3008042275313113,0.0,0.0006699772801029168
